Protein,Protein Name,Protein Family,ChEMBL ID
DPP4,Metabotropic glutamate receptor 2,Belongs to the G-protein coupled receptor 3 family,CHEMBL5137
DPP4,Pro-glucagon,Belongs to the glucagon family,CHEMBL5736
DPP4,Inhibitor of nuclear factor kappa-B kinase subunit beta,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. I-kappa-B kinase subfamily,CHEMBL1991
DPP4,Plasminogen,Belongs to the peptidase S1 family. Plasminogen subfamily,CHEMBL1801
DPP4,Stromal cell-derived factor 1,Belongs to the intercrine alpha (chemokine CxC) family,CHEMBL3286074
ADARB1,NF-kappa-B-repressing factor,N/A,CHEMBL3163
ADARB1,RISC-loading complex subunit TARBP2,Belongs to the TARBP2 family,CHEMBL2098
ADARB1,Transcription factor Jun,Belongs to the bZIP family. Jun subfamily,CHEMBL4977
ADARB1,"Interferon-induced, double-stranded RNA-activated protein kinase",Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. GCN2 subfamily,CHEMBL5785
ADARB1,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,N/A,CHEMBL2288
ADARB1,Casein kinase II subunit alpha,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. CK2 subfamily,CHEMBL3629
NPY1R,Neuropeptide Y receptor type 1,Belongs to the G-protein coupled receptor 1 family,CHEMBL4777
MT-ND5,NADH-ubiquinone oxidoreductase chain 5,Belongs to the complex I subunit 5 family,CHEMBL2363065
MT-ND2,NADH-ubiquinone oxidoreductase chain 2,Belongs to the complex I subunit 2 family,CHEMBL2363065
GRIN3A,"Glutamate receptor ionotropic, NMDA 3A",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR3A/GRIN3A subfamily,CHEMBL4787
GRIN3A,"Glutamate receptor ionotropic, NMDA 1",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR1/GRIN1 subfamily,CHEMBL2015
GRIN3A,"Glutamate receptor ionotropic, NMDA 3B",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR3B/GRIN3B subfamily,CHEMBL2094124
GRIN3A,"Glutamate receptor ionotropic, NMDA 2B",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2B/GRIN2B subfamily,CHEMBL1904
GRIN3A,"Glutamate receptor ionotropic, NMDA 2D",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2D/GRIN2D subfamily,CHEMBL2591
GRIN3A,"Glutamate receptor ionotropic, NMDA 2A",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2A/GRIN2A subfamily,CHEMBL1972
GRIN3A,"Glutamate receptor ionotropic, NMDA 2C",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2C/GRIN2C subfamily,CHEMBL4109
BECN1,Beclin-1,Belongs to the beclin family,CHEMBL4296010
BECN1,Apoptosis regulator Bcl-2,Belongs to the Bcl-2 family,CHEMBL4860
BECN1,Bcl-2-like protein 1,Belongs to the Bcl-2 family,CHEMBL4625
BECN1,"Leucine-rich PPR motif-containing protein, mitochondrial",N/A,CHEMBL4295762
BECN1,Phosphatidylinositol 3-kinase catalytic subunit type 3,Belongs to the PI3/PI4-kinase family,CHEMBL1075165
BECN1,Death-associated protein kinase 1,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. DAP kinase subfamily,CHEMBL2558
BECN1,UV radiation resistance-associated gene protein,N/A,CHEMBL4296018
BECN1,Ataxin-3,N/A,CHEMBL4523240
BECN1,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,Belongs to the PPP phosphatase family. PP-1 subfamily,CHEMBL4703
BECN1,Immunity-related GTPase family M protein,Belongs to the TRAFAC class dynamin-like GTPase superfamily. IRG family,CHEMBL5169093
BECN1,High mobility group protein B1,Belongs to the HMGB family,CHEMBL2311236
BECN1,Phosphoinositide 3-kinase regulatory subunit 4,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family,CHEMBL2189144
BECN1,Growth factor receptor-bound protein 2,Belongs to the GRB2/sem-5/DRK family,CHEMBL3663
OPN3,Opsin-3,Belongs to the G-protein coupled receptor 1 family. Opsin subfamily,CHEMBL4523919
OPN3,Melanocyte-stimulating hormone receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL3795
OPN3,Tyrosinase,Belongs to the tyrosinase family,CHEMBL1973
AVPR1B,Vasopressin V1b receptor,Belongs to the G-protein coupled receptor 1 family. Vasopressin/oxytocin receptor subfamily,CHEMBL1921
AVPR1B,Oxytocin-neurophysin 1,Belongs to the vasopressin/oxytocin family,CHEMBL5169107
GPR37L1,G-protein coupled receptor 37-like 1,Belongs to the G-protein coupled receptor 1 family,CHEMBL5892
GPR37L1,Lysosomal Pro-X carboxypeptidase,Belongs to the peptidase S28 family,CHEMBL2335
GPR37L1,Programmed cell death 1 ligand 2,Belongs to the immunoglobulin superfamily. BTN/MOG family,CHEMBL3713006
GPR52,G-protein coupled receptor 52,Belongs to the G-protein coupled receptor 1 family,CHEMBL3297639
GPR52,G-protein coupled receptor 55,Belongs to the G-protein coupled receptor 1 family,CHEMBL1075322
TAAR2,Trace amine-associated receptor 2,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523927
KCNJ9,G protein-activated inward rectifier potassium channel 3,Belongs to the inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ9 subfamily,CHEMBL3038490
KCNJ9,G protein-activated inward rectifier potassium channel 1,Belongs to the inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ3 subfamily,CHEMBL1914277
AIM2,Interferon-inducible protein AIM2,Belongs to the HIN-200 family,CHEMBL4630802
AIM2,"Interferon-induced, double-stranded RNA-activated protein kinase",Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. GCN2 subfamily,CHEMBL5785
AIM2,Caspase-1,Belongs to the peptidase C14A family,CHEMBL4801
AIM2,Receptor-interacting serine/threonine-protein kinase 3,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family,CHEMBL1795199
AIM2,Sequestosome-1,N/A,CHEMBL4295816
AIM2,Caspase-8,Belongs to the peptidase C14A family,CHEMBL3776
AIM2,RAC-alpha serine/threonine-protein kinase,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. RAC subfamily,CHEMBL4282
AIM2,Receptor-interacting serine/threonine-protein kinase 1,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family,CHEMBL5464
RXFP4,Relaxin-3 receptor 2,Belongs to the G-protein coupled receptor 1 family,CHEMBL1628473
NGF,Beta-nerve growth factor,Belongs to the NGF-beta family,CHEMBL1649058
NGF,High affinity nerve growth factor receptor,Belongs to the protein kinase superfamily. Tyr protein kinase family. Insulin receptor subfamily,CHEMBL2815
NGF,Disintegrin and metalloproteinase domain-containing protein 10,N/A,CHEMBL5028
NGF,Tumor necrosis factor receptor superfamily member 16,N/A,CHEMBL4762
NGF,Neurotrophic factor BDNF precursor form,Belongs to the NGF-beta family,CHEMBL4523205
NGF,Fascin,Belongs to the fascin family,CHEMBL4523304
NGF,Fibroblast growth factor receptor substrate 2,N/A,CHEMBL5291586
NGF,Ras-related protein Rap-1A,Belongs to the small GTPase superfamily. Ras family,CHEMBL1255139
TMIGD3,Transmembrane domain-containing protein TMIGD3,N/A,CHEMBL3712907
TMIGD3,Adenosine receptor A3,Belongs to the G-protein coupled receptor 1 family,CHEMBL256
NPBWR2,Neuropeptides B/W receptor type 2,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523864
NPBWR2,Proteasome subunit alpha type-3,Belongs to the peptidase T1A family,CHEMBL2364701
KCNA3,Potassium voltage-gated channel subfamily A member 3,Belongs to the potassium channel family. A (Shaker) (TC 1.A.1.2) subfamily. Kv1.3/KCNA3 sub-subfamily,CHEMBL4633
KCNA3,Disks large homolog 4,Belongs to the MAGUK family,CHEMBL5666
KCNA3,Serine/threonine-protein kinase Sgk2,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL5794
KCNA3,Serine/threonine-protein kinase Sgk3,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL6186
KCNA3,Tyrosine-protein kinase JAK2,Belongs to the protein kinase superfamily. Tyr protein kinase family. JAK subfamily,CHEMBL2971
KCNA3,Apoptosis regulator BAX,Belongs to the Bcl-2 family,CHEMBL5318
KCNA3,Potassium voltage-gated channel subfamily A member 1,Belongs to the potassium channel family. A (Shaker) (TC 1.A.1.2) subfamily. Kv1.1/KCNA1 sub-subfamily,CHEMBL2309
OPN1LW,Long-wave-sensitive opsin 1,Belongs to the G-protein coupled receptor 1 family. Opsin subfamily,CHEMBL1949482
AMY1C,Alpha-amylase 1A,Belongs to the glycosyl hydrolase 13 family,CHEMBL2478
AMY1A,Alpha-amylase 1A,Belongs to the glycosyl hydrolase 13 family,CHEMBL2478
SCD,Stearoyl-CoA desaturase,Belongs to the fatty acid desaturase type 1 family,CHEMBL5555
SCD,Stearoyl-CoA desaturase 5,Belongs to the fatty acid desaturase type 1 family,CHEMBL1275210
SCD,C-type lectin domain family 4 member K,N/A,CHEMBL2176853
SCD,Ceramide synthase 4,N/A,CHEMBL5291570
SCD,G protein-activated inward rectifier potassium channel 2,Belongs to the inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ6 subfamily,CHEMBL2406895
NTSR1,Neurotensin receptor type 1,Belongs to the G-protein coupled receptor 1 family. Neurotensin receptor subfamily. NTSR1 sub-subfamily,CHEMBL4123
NTSR1,Guanine nucleotide-binding protein subunit alpha-11,Belongs to the G-alpha family. G(q) subfamily,CHEMBL4295740
NTSR1,Beta-arrestin-1,Belongs to the arrestin family,CHEMBL1795088
LPAR3,Lysophosphatidic acid receptor 3,Belongs to the G-protein coupled receptor 1 family,CHEMBL3250
LPAR3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2,Belongs to the complex I NDUFA12 subunit family,CHEMBL2363065
LPAR3,Voltage-gated potassium channel KCNC1,Belongs to the potassium channel family. C (Shaw) (TC 1.A.1.2) subfamily. Kv3.1/KCNC1 sub-subfamily,CHEMBL5529
BRS3,Bombesin receptor subtype-3,Belongs to the G-protein coupled receptor 1 family,CHEMBL4080
PTGFR,Prostaglandin F2-alpha receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL1987
OPN5,Opsin-5,Belongs to the G-protein coupled receptor 1 family. Opsin subfamily,CHEMBL4523878
OPN5,Sodium-dependent dopamine transporter,Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A3 subfamily,CHEMBL238
OPN5,D(2) dopamine receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL217
SSBP3,Tyrosine-protein kinase Blk,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,CHEMBL2250
SSBP3,RNA-binding protein EWS,Belongs to the RRM TET family,CHEMBL3351202
SSBP3,Tyrosine-protein kinase Yes,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,CHEMBL2073
SSBP3,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,N/A,CHEMBL2288
FFAR4,Free fatty acid receptor 4,Belongs to the G-protein coupled receptor 1 family,CHEMBL5339
FFAR4,Guanine nucleotide-binding protein subunit alpha-11,Belongs to the G-alpha family. G(q) subfamily,CHEMBL4295740
FFAR4,Guanine nucleotide-binding protein G(q) subunit alpha,Belongs to the G-alpha family. G(q) subfamily,CHEMBL3286079
FFAR4,Free fatty acid receptor 1,Belongs to the G-protein coupled receptor 1 family,CHEMBL4422
GRIN1,G protein-regulated inducer of neurite outgrowth 1,N/A,CHEMBL5266
GRIN1,"Glutamate receptor ionotropic, NMDA 1",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR1/GRIN1 subfamily,CHEMBL2015
GRIN1,"Glutamate receptor ionotropic, NMDA 2A",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2A/GRIN2A subfamily,CHEMBL1972
GRIN1,"Glutamate receptor ionotropic, NMDA 2B",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2B/GRIN2B subfamily,CHEMBL1904
GRIN1,"Glutamate receptor ionotropic, NMDA 2C",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2C/GRIN2C subfamily,CHEMBL4109
GRIN1,"Glutamate receptor ionotropic, NMDA 3A",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR3A/GRIN3A subfamily,CHEMBL4787
GRIN1,"Glutamate receptor ionotropic, NMDA 2D",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2D/GRIN2D subfamily,CHEMBL2591
GRIN1,"Glutamate receptor ionotropic, NMDA 3B",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR3B/GRIN3B subfamily,CHEMBL2094124
GRIN1,Protein kinase C gamma type,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. PKC subfamily,CHEMBL2938
GRIN1,Disks large homolog 4,Belongs to the MAGUK family,CHEMBL5666
GRIN1,Caprin-1,Belongs to the caprin family,CHEMBL4295821
GRIN1,Amyloid-beta precursor protein,Belongs to the APP family,CHEMBL2487
CMPK1,UMP-CMP kinase,Belongs to the adenylate kinase family. UMP-CMP kinase subfamily,CHEMBL5681
CMPK1,Calpain-1 catalytic subunit,Belongs to the peptidase C2 family,CHEMBL3891
AGTR2,Type-2 angiotensin II receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL4607
AGTR2,Type-1 angiotensin II receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL227
AGTR2,Angiotensinogen,Belongs to the serpin family,CHEMBL3596085
AGTR2,Transforming protein RhoA,Belongs to the small GTPase superfamily. Rho family,CHEMBL6052
PTEN,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",Belongs to the PTEN phosphatase protein family,CHEMBL2052032
PTEN,"Serine/threonine-protein kinase PINK1, mitochondrial",Belongs to the protein kinase superfamily. Ser/Thr protein kinase family,CHEMBL3337330
PTEN,E3 ubiquitin-protein ligase XIAP,Belongs to the IAP family,CHEMBL4198
PTEN,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily,CHEMBL2052033
PTEN,Microtubule-associated serine/threonine-protein kinase 3,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL2417352
PTEN,Tyrosine-protein kinase FRK,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,CHEMBL4223
PTEN,E3 ubiquitin-protein ligase NEDD4,N/A,CHEMBL3621023
PTEN,Ubiquitin carboxyl-terminal hydrolase 7,Belongs to the peptidase C19 family,CHEMBL2157850
PTEN,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Belongs to the PI3/PI4-kinase family,CHEMBL3145
PTEN,Serine/threonine-protein kinase STK11,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. LKB1 subfamily,CHEMBL5606
PTEN,Serine/threonine-protein kinase PLK3,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. CDC5/Polo subfamily,CHEMBL4897
MMP9,Matrix metalloproteinase-9,Belongs to the peptidase M10A family,CHEMBL321
MMP9,Insulin-like growth factor-binding protein 2,N/A,CHEMBL3088
MMP9,Interleukin-8,Belongs to the intercrine alpha (chemokine CxC) family,CHEMBL2157
MMP9,Tissue factor pathway inhibitor,N/A,CHEMBL3713062
MMP9,Rho guanine nucleotide exchange factor 4,N/A,CHEMBL4296093
MMP9,Meprin A subunit alpha,N/A,CHEMBL4105775
MMP9,Meprin A subunit beta,N/A,CHEMBL4105879
MMP9,Opsin-3,Belongs to the G-protein coupled receptor 1 family. Opsin subfamily,CHEMBL4523919
MMP9,C-X-C motif chemokine 10,Belongs to the intercrine alpha (chemokine CxC) family,CHEMBL3712964
AGO1,Heterogeneous nuclear ribonucleoprotein F,N/A,CHEMBL4523238
AGO1,ELAV-like protein 1,Belongs to the RRM elav family,CHEMBL1250379
AGO1,DNA damage-binding protein 1,Belongs to the DDB1 family,CHEMBL3833061
AGO1,ATP-dependent DNA/RNA helicase DHX36,Belongs to the DEAD box helicase family. DEAH subfamily,CHEMBL2040704
AGO1,Endoribonuclease Dicer,Belongs to the helicase family. Dicer subfamily,CHEMBL2311232
AGO1,Probable ATP-dependent RNA helicase DDX5,Belongs to the DEAD box helicase family. DDX5/DBP2 subfamily,CHEMBL4295722
AGO1,Polyadenylate-binding protein 1,Belongs to the polyadenylate-binding protein type-1 family,CHEMBL1293286
AGO1,Y-box-binding protein 1,Belongs to the YBX1 family,CHEMBL4296006
AGO1,ATP-dependent RNA helicase DHX30,Belongs to the DEAD box helicase family. DEAH subfamily,CHEMBL4105814
AGO1,Protein argonaute-2,Belongs to the argonaute family. Ago subfamily,CHEMBL4680043
GPR21,Probable G-protein coupled receptor 21,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523913
GPR3,G-protein coupled receptor 3,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523856
GPR3,C-X-C chemokine receptor type 3,Belongs to the G-protein coupled receptor 1 family,CHEMBL4441
GPR3,Free fatty acid receptor 3,Belongs to the G-protein coupled receptor 1 family,CHEMBL5201
GPR3,Adhesion G protein-coupled receptor G3,Belongs to the G-protein coupled receptor 2 family. Adhesion G-protein coupled receptor (ADGR) subfamily,CHEMBL3559707
GPR3,Adhesion G-protein coupled receptor G5,Belongs to the G-protein coupled receptor 2 family. Adhesion G-protein coupled receptor (ADGR) subfamily,CHEMBL4523890
GPR3,Adhesion G-protein coupled receptor G1,Belongs to the G-protein coupled receptor 2 family. LN-TM7 subfamily,CHEMBL4523929
GPR3,Amyloid-beta precursor protein,Belongs to the APP family,CHEMBL2487
GPR3,G-protein coupled receptor 12,Belongs to the G-protein coupled receptor 1 family,CHEMBL5006
GPR3,G-protein coupled receptor 6,Belongs to the G-protein coupled receptor 1 family,CHEMBL3714130
NPY4R,Neuropeptide Y receptor type 4,Belongs to the G-protein coupled receptor 1 family,CHEMBL4877
CNR2,Cannabinoid receptor 2,Belongs to the G-protein coupled receptor 1 family,CHEMBL253
CNR2,Connector enhancer of kinase suppressor of ras 2,Belongs to the CNKSR family,CHEMBL1938216
CNR2,Catechol O-methyltransferase,Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-dependent O-methyltransferase family,CHEMBL2023
PLA2G5,Phospholipase A2 group V,Belongs to the phospholipase A2 family,CHEMBL4323
AUH,Serine/threonine-protein kinase Sgk1,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL2343
CKS2,Fibroblast growth factor receptor substrate 2,N/A,CHEMBL5291586
CKS2,Cyclin-dependent kinase 3,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily,CHEMBL4442
ISCA1,Cryptochrome-2,Belongs to the DNA photolyase class-1 family,CHEMBL4296116
CORT,Myoglobin,Belongs to the globin family,CHEMBL2406892
CORT,Tropomyosin alpha-1 chain,Belongs to the tropomyosin family,CHEMBL4295705
CORT,Amyloid-beta precursor protein,Belongs to the APP family,CHEMBL2487
EDNRB,Endothelin receptor type B,Belongs to the G-protein coupled receptor 1 family. Endothelin receptor subfamily. EDNRB sub-subfamily,CHEMBL1785
EDNRB,Microphthalmia-associated transcription factor,Belongs to the MiT/TFE family,CHEMBL1741165
EDNRB,Proto-oncogene tyrosine-protein kinase receptor Ret,Belongs to the protein kinase superfamily. Tyr protein kinase family,CHEMBL2041
DPP6,A-type voltage-gated potassium channel KCND2,Belongs to the potassium channel family. D (Shal) (TC 1.A.1.2) subfamily. Kv4.2/KCND2 sub-subfamily,CHEMBL5885
DPP6,A-type voltage-gated potassium channel KCND3,Belongs to the potassium channel family. D (Shal) (TC 1.A.1.2) subfamily. Kv4.3/KCND3 sub-subfamily,CHEMBL1964
DPP6,A-type voltage-gated potassium channel KCND1,Belongs to the potassium channel family. D (Shal) (TC 1.A.1.2) subfamily. Kv4.1/KCND1 sub-subfamily,CHEMBL2362996
DPP6,Dipeptidyl peptidase 8,Belongs to the peptidase S9B family. DPPIV subfamily,CHEMBL4657
DPP6,Prolyl endopeptidase FAP,Belongs to the peptidase S9B family,CHEMBL4683
DPP6,A-type potassium channel modulatory protein KCNIP2,Belongs to the recoverin family,CHEMBL2189164
DPP6,Dipeptidyl peptidase 4,Belongs to the peptidase S9B family. DPPIV subfamily,CHEMBL284
DPP6,Dipeptidyl peptidase 9,Belongs to the peptidase S9B family. DPPIV subfamily,CHEMBL4793
BFSP1,Alpha-crystallin A chain,Belongs to the small heat shock protein (HSP20) family,CHEMBL4296283
BFSP1,Ezrin,N/A,CHEMBL1932896
BFSP1,Plectin,Belongs to the plakin or cytolinker family,CHEMBL1293240
BFSP1,Vimentin,Belongs to the intermediate filament family,CHEMBL3712854
BFSP1,Kinesin-like protein KIFC3,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family,CHEMBL1075119
SLC3A2,Large neutral amino acids transporter small subunit 1,Belongs to the amino acid-polyamine-organocation (APC) superfamily. L-type amino acid transporter (LAT) (TC 2.A.3.8) family,CHEMBL4459
SLC3A2,Cystine/glutamate transporter,Belongs to the amino acid-polyamine-organocation (APC) superfamily. L-type amino acid transporter (LAT) (TC 2.A.3.8) family,CHEMBL1075149
SLC3A2,Large neutral amino acids transporter small subunit 2,Belongs to the amino acid-polyamine-organocation (APC) superfamily. L-type amino acid transporter (LAT) (TC 2.A.3.8) family,CHEMBL4301
SLC3A2,S-adenosylmethionine synthase isoform type-2,Belongs to the AdoMet synthase family,CHEMBL3313835
SLC3A2,Prosaposin receptor GPR37,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523862
SLC3A2,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",Belongs to the EBP family,CHEMBL4931
SLC3A2,Filamin-A,Belongs to the filamin family,CHEMBL4804243
SLC3A2,Heat shock protein beta-1,Belongs to the small heat shock protein (HSP20) family,CHEMBL5976
SLC3A2,Kinesin-like protein KIF1B,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family. Unc-104 subfamily,CHEMBL5889
TP73,Tyrosine-protein kinase HCK,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,CHEMBL3234
TP73,NAD-dependent protein deacetylase sirtuin-1,Belongs to the sirtuin family. Class I subfamily,CHEMBL4506
TP73,NAD(P)H dehydrogenase [quinone] 1,Belongs to the NAD(P)H dehydrogenase (quinone) family,CHEMBL3623
TP73,Transcriptional coactivator YAP1,Belongs to the YAP1 family,CHEMBL3334415
TP73,Tyrosine-protein kinase ABL1,Belongs to the protein kinase superfamily. Tyr protein kinase family. ABL subfamily,CHEMBL1862
TP73,Serine/threonine-protein kinase PLK3,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. CDC5/Polo subfamily,CHEMBL4897
TP73,Cellular tumor antigen p53,Belongs to the p53 family,CHEMBL4096
TP73,Serine/threonine-protein kinase PLK1,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. CDC5/Polo subfamily,CHEMBL3024
TP73,Protein Mdm4,Belongs to the MDM2/MDM4 family,CHEMBL1255126
TP73,Homeodomain-interacting protein kinase 2,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. HIPK subfamily,CHEMBL4576
EDN1,Leukocyte surface antigen CD47,N/A,CHEMBL3714583
EDN1,Endothelin-1 receptor,Belongs to the G-protein coupled receptor 1 family. Endothelin receptor subfamily. EDNRA sub-subfamily,CHEMBL252
EDN1,Endothelin receptor type B,Belongs to the G-protein coupled receptor 1 family. Endothelin receptor subfamily. EDNRB sub-subfamily,CHEMBL1785
EDN1,Serine/threonine-protein kinase Sgk1,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL2343
EDN1,Signal transducer and activator of transcription 3,Belongs to the transcription factor STAT family,CHEMBL4026
EDN1,Histone acetyltransferase KAT5,Belongs to the MYST (SAS/MOZ) family,CHEMBL5750
NFX1,Polyadenylate-binding protein 4,Belongs to the polyadenylate-binding protein type-1 family,CHEMBL5333
NFX1,Polyadenylate-binding protein 1,Belongs to the polyadenylate-binding protein type-1 family,CHEMBL1293286
NFX1,Eukaryotic translation initiation factor 4E,Belongs to the eukaryotic initiation factor 4E family,CHEMBL4848
NFX1,Prelamin-A/C,Belongs to the intermediate filament family,CHEMBL1293235
GPR150,Probable G-protein coupled receptor 150,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523898
KL,Klotho,Belongs to the glycosyl hydrolase 1 family. Klotho subfamily,CHEMBL4523485
KL,Mitogen-activated protein kinase kinase kinase 21,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase kinase subfamily,CHEMBL3627584
KL,Fibroblast growth factor receptor 4,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL3973
KL,Mucin-1,N/A,CHEMBL3580494
KL,Fibroblast growth factor 23,Belongs to the heparin-binding growth factors family,CHEMBL3713913
KL,Taste receptor type 2 member 19,Belongs to the G-protein coupled receptor T2R family,CHEMBL4523255
KL,Putative phosphatidylinositol 4-kinase alpha-like protein P2,Belongs to the PI3/PI4-kinase family. Type III PI4K subfamily,CHEMBL4105789
KL,Hippocalcin-like protein 1,Belongs to the recoverin family,CHEMBL4295755
GRPR,Gastrin-releasing peptide receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL4959
AK3,Aldo-keto reductase family 1 member C3,Belongs to the aldo/keto reductase family,CHEMBL4681
AK3,Eukaryotic translation initiation factor 2-alpha kinase 3,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. GCN2 subfamily,CHEMBL6030
AK3,"Adenylate kinase 4, mitochondrial",Belongs to the adenylate kinase family. AK3 subfamily,CHEMBL4926
AK3,Neurotrophic factor BDNF precursor form,Belongs to the NGF-beta family,CHEMBL4523205
AK3,Glyceraldehyde-3-phosphate dehydrogenase,Belongs to the glyceraldehyde-3-phosphate dehydrogenase family,CHEMBL2284
AK3,Huntingtin,Belongs to the huntingtin family,CHEMBL5514
VLDLR,Proprotein convertase subtilisin/kexin type 9,Belongs to the peptidase S8 family,CHEMBL2929
VLDLR,Oxysterols receptor LXR-beta,Belongs to the nuclear hormone receptor family. NR1 subfamily,CHEMBL4093
VLDLR,Oxysterols receptor LXR-alpha,Belongs to the nuclear hormone receptor family. NR1 subfamily,CHEMBL2808
VLDLR,Clathrin light chain A,Belongs to the clathrin light chain family,CHEMBL4295706
VLDLR,Platelet-activating factor acetylhydrolase IB subunit alpha1,Belongs to the 'GDSL' lipolytic enzyme family. Platelet-activating factor acetylhydrolase IB beta/gamma subunits subfamily,CHEMBL5108
VLDLR,Platelet-activating factor acetylhydrolase IB subunit alpha2,Belongs to the 'GDSL' lipolytic enzyme family. Platelet-activating factor acetylhydrolase IB beta/gamma subunits subfamily,CHEMBL4463
VLDLR,AP-2 complex subunit alpha-1,Belongs to the adaptor complexes large subunit family,CHEMBL4295687
VLDLR,Clathrin heavy chain 1,Belongs to the clathrin heavy chain family,CHEMBL3108634
GPR78,G-protein coupled receptor 78,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523908
GPR78,G-protein coupled receptor 26,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523895
KCNJ1,ATP-sensitive inward rectifier potassium channel 1,Belongs to the inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ1 subfamily,CHEMBL1293292
KCNJ1,Serine/threonine-protein kinase WNK4,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. WNK subfamily,CHEMBL1795196
KCNJ1,Serine/threonine-protein kinase Sgk1,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL2343
